"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5182456";"";"None";"596.04";"2";"5.44";"37";"N#Cc1cncc(COc2cc(Oc3ncnc4c(-c5ccc6c(c5)OCCO6)cccc34)c(Cl)cc2CNCCO)c1";"IC50";"'='";"12.18";"nM";"7.91";"";"";"UO_0000065";"13.28";"0.25";"2.47";"6.01";"0";"CHEMBL5155932";"Inhibition of Tag2-PD-1/Tag1-PD-L1 (unknown origin) protein-protein interaction incubated for 15 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5154658";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"TIME = 0.25 hr";"INHIBITOR";"";"12.18"
"CHEMBL4763142";"";"None";"443.55";"1";"5.06";"Fig 10, Cpd 32";"Cc1cc(C(=O)Nc2cccc(-c3ccccc3)c2C)ncc1CN1CCCC[C@H]1C(=O)O";"IC50";"'<='";"10.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL5225067";"Inhibition of human PD-1/PDL1 protein-protein interaction by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5223128";"1";"Scientific Literature";"Bioorg Med Chem";"2022";"None";"";"INHIBITOR";"";"10.0"
"CHEMBL5279092";"";"None";"408.46";"0";"3.73";"Fig 12, Cpd 5";"COc1cccc(-c2cccc(NC(=O)c3nc4c(s3)CNCC4)c2C#N)c1F";"IC50";"'<='";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5225067";"Inhibition of human PD-1/PDL1 protein-protein interaction by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5223128";"1";"Scientific Literature";"Bioorg Med Chem";"2022";"None";"";"INHIBITOR";"";"100.0"
"CHEMBL5178534";"";"None";"637.10";"2";"5.59";"38";"CC(=O)NCCNCc1cc(Cl)c(Oc2ncnc3c(-c4ccc5c(c4)OCCO5)cccc23)cc1OCc1cncc(C#N)c1";"IC50";"'='";"95.98";"nM";"7.02";"";"";"UO_0000065";"11.02";"0.21";"1.43";"4.99";"0";"CHEMBL5155932";"Inhibition of Tag2-PD-1/Tag1-PD-L1 (unknown origin) protein-protein interaction incubated for 15 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5154658";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"TIME = 0.25 hr";"INHIBITOR";"";"95.98"
"CHEMBL5200356";"";"None";"605.09";"2";"7.63";"23";"N#Cc1cccc(COc2cc(Oc3ncnc4c(-c5ccccc5)cccc34)c(Cl)cc2CN2CCCC[C@H]2C(=O)O)c1";"IC50";"'>'";"500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5155932";"Inhibition of Tag2-PD-1/Tag1-PD-L1 (unknown origin) protein-protein interaction incubated for 15 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5154658";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"TIME = 0.25 hr";"";"";"500.0"
"CHEMBL5192288";"";"None";"595.06";"2";"6.05";"30";"N#Cc1cccc(COc2cc(Oc3ncnc4c(-c5ccc6c(c5)OCCO6)cccc34)c(Cl)cc2CNCCO)c1";"IC50";"'='";"22.4";"nM";"7.65";"";"";"UO_0000065";"12.86";"0.24";"1.60";"6.44";"0";"CHEMBL5155932";"Inhibition of Tag2-PD-1/Tag1-PD-L1 (unknown origin) protein-protein interaction incubated for 15 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5154658";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"TIME = 0.25 hr";"INHIBITOR";"";"22.4"
"CHEMBL5087276";"";"None";"420.47";"0";"4.71";"A15";"Cc1c(COc2ccc(CNCCC(=O)O)cc2[N+](=O)[O-])cccc1-c1ccccc1";"IC50";"'='";"39.5";"nM";"7.40";"";"";"UO_0000065";"17.61";"0.33";"2.69";"7.28";"0";"CHEMBL5034139";"Inhibition of human PD-1/PD-L1 interaction assessed as disruption of PD-1/PD-L1 complex incubated for 2 hrs by Tag-1 Eu3+ and anti-Tag2-XL665 based HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5033993";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 2.0 hr";"INHIBITOR";"";"39.5"
"CHEMBL4861315";"";"None";"352.82";"0";"4.94";"4e";"OCc1ccc(-c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)cc1";"IC50";"'='";"510.0";"nM";"6.29";"";"";"UO_0000065";"17.83";"0.34";"1.35";"16.26";"0";"CHEMBL4836819";"Inhibition of human PD1/PDL1 protein-protein interaction assessed as undissociated complex after 2 hrs by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4834474";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 2.0 hr";"INHIBITOR";"";"0.51"
"CHEMBL4879098";"";"None";"455.94";"0";"3.90";"8i";"COc1cc(-c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)ccc1CNC(CO)CO";"IC50";"'<'";"1.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4836819";"Inhibition of human PD1/PDL1 protein-protein interaction assessed as undissociated complex after 2 hrs by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4834474";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 2.0 hr";"INHIBITOR";"";"1.0"
"CHEMBL4852471";"";"None";"762.21";"3";"7.52";"39";"CC(=O)OCCOC(=O)[C@@H]1CCCCN1Cc1cc(Cl)c(OC(F)(F)c2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4841996";"Inhibition of PD-1/PD-L1 interaction (unknown origin) by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4840360";"1";"Scientific Literature";"J Med Chem";"2021";"None";"";"";"";"1000.0"
"CHEMBL4850721";"";"None";"752.91";"3";"5.15";"II-14";"Cc1c(COc2ccc(CNC(CO)(CO)CO)c(OCc3nnc(-c4ccccc4)o3)c2)cccc1-c1cccc(OCCCN2CCC(CO)CC2)c1";"IC50";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"9.86";"0.18";"2.27";"4.56";"0";"CHEMBL4811127";"Inhibition of PD1/PD-L1 (unknown origin) protein-protein interaction measured after 135 mins by TR-FRET assay relative to control";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4808253";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"TIME = 2.25 hr";"INHIBITOR";"";"0.038"
"CHEMBL4859877";"";"None";"447.56";"0";"4.45";"A20";"O=C(O)[C@@H]1CCCCN1Cc1cnc(C(=O)N2CCc3c(-c4ccccc4)cccc32)s1";"IC50";"'='";"76.5";"nM";"7.12";"";"";"UO_0000065";"15.90";"0.30";"2.67";"9.65";"0";"CHEMBL4809423";"Inhibition of PD1/PD-L1 (unknown origin) protein-protein interaction measured after 135 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4808185";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 2.25 hr";"INHIBITOR";"";"76.5"
"CHEMBL4475015";"";"None";"500.56";"1";"2.95";"A25";"CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C)c2nncn2c1";"IC50";"'='";"565.8";"nM";"6.25";"";"";"UO_0000065";"12.48";"0.23";"3.30";"5.26";"0";"CHEMBL4394423";"Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4393667";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"";"565.8"
"CHEMBL4796919";"";"None";"440.54";"1";"6.22";"23";"Cc1c(-c2ccccc2)cccc1-c1nc2cc(CN3CCCC[C@H]3C(=O)O)cc(C)c2o1";"IC50";"'<='";"10.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4724763";"Inhibition of PD-1/PDL1 (unknown origin) by ELISA";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4715910";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"";"INHIBITOR";"";"10.0"
"CHEMBL5410081";"";"None";"508.02";"1";"4.66";"4c";"COc1cc(-c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)ccc1CN1CCCC(C(=O)NN)C1";"IC50";"'='";"79.89";"nM";"7.10";"";"";"UO_0000065";"13.97";"0.27";"2.44";"8.25";"0";"CHEMBL5331037";"Inhibition of human PD-1/PDL1 interaction incubated for 1 hr by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5329225";"1";"Scientific Literature";"ACS Med Chem Lett";"2024";"None";"TIME = 1.0 hr";"INHIBITOR";"";"79.89"
"CHEMBL5416072";"";"None";"576.65";"2";"2.10";"B25";"COc1ccc(CNCc2cn([C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)nn2)cc1OCc1cccc(-c2ccccc2)c1C";"IC50";"'='";"1153.0";"nM";"5.94";"";"";"UO_0000065";"10.30";"0.19";"3.84";"3.92";"0";"CHEMBL5343296";"Inhibition of PD-1/PD-L1 (unknown origin) interaction incubated for 15 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5338801";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.25 hr";"INHIBITOR";"";"1153.0"
"CHEMBL4798882";"";"None";"931.88";"2";"6.24";"P2";"Cc1c(COc2ccc(CN3CCCCC3C(=O)N3CCN(C(=O)CCCC(=O)Nc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)cc2Br)cccc1-c1ccccc1";"IC50";"'>'";"200.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4769862";"Inhibition of PD-1/PDL1 protein-protein interaction (unknown origin) by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4765316";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"";"";"200.0"
"CHEMBL4084368";"";"None";"594.66";"2";"5.31";"16; BMS-1001";"Cc1cc(CN[C@H](CO)C(=O)O)c(OCc2cccc(C#N)c2)cc1OCc1cccc(-c2ccc3c(c2)OCCO3)c1C";"IC50";"'='";"2.4";"nM";"8.62";"";"";"UO_0000065";"14.50";"0.27";"3.31";"6.62";"0";"CHEMBL4724760";"Inhibition of human PD-1/PDL1 by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4715910";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"";"INHIBITOR";"";"2.4"
"CHEMBL4781694";"";"None";"935.52";"2";"8.89";"P15";"Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)NCCCCCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)cc2Cl)cccc1-c1ccccc1";"IC50";"'>'";"200.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4769862";"Inhibition of PD-1/PDL1 protein-protein interaction (unknown origin) by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4765316";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"";"";"200.0"
"CHEMBL4788659";"";"None";"965.50";"3";"7.88";"P26";"Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)NCCCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)cc2Cl)cccc1-c1ccc2c(c1)OCCO2";"IC50";"'='";"102.7";"nM";"6.99";"";"";"UO_0000065";"7.24";"0.14";"-0.89";"3.70";"0";"CHEMBL4769862";"Inhibition of PD-1/PDL1 protein-protein interaction (unknown origin) by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4765316";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"102.7"
"CHEMBL4784449";"";"None";"1705.07";"None";"None";"6";"CCCC[C@@H]1C(O)N(C)[C@H](CCCC)C(O)NC(CCCNC(=N)N)C(=O)N[C@@H](C(O)NCC(N)=O)CSCN[C@H](c2ccccc2)C(=O)N(C)[C@H](C)C(O)N[C@H](CC(N)=O)C(=O)N2CCC[C@@H]2C(=O)NC(Cc2c[nH]cn2)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N1C";"IC50";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"4.72";"None";"None";"None";"0";"CHEMBL4724759";"Inhibition of PD-1/PDL1 (unknown origin) by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4715910";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"";"INHIBITOR";"";"9.0"
"CHEMBL5090549";"";"None";"451.91";"0";"4.74";"P11";"OCCNCc1ccc2onc(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)c2c1";"IC50";"'='";"3015.1";"nM";"5.52";"";"";"UO_0000065";"12.22";"0.24";"0.78";"6.22";"0";"CHEMBL5054563";"Inhibition of PD-1/PDL1 protein-protein interaction (unknown origin) by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5053523";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"";"INHIBITOR";"";"3015.1"
"CHEMBL5092074";"";"None";"561.98";"2";"6.20";"6";"Cc1c(/C=C/c2c(Cl)cc(CNC(C)(CO)C(=O)O)cc2C(F)(F)F)cccc1-c1ccc2c(c1)OCCO2";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"13.78";"0.27";"1.54";"8.80";"0";"CHEMBL5054564";"Inhibition of PD-1/PDL1 protein-protein interaction (unknown origin)";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5053523";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"";"INHIBITOR";"";"18.0"
